,DATE,HDI,TC,TD,STI,Population,GDPCAP
17825,6/2/2020,0.5920000000000001,8.995908761,3.583518938,4.033886593,17.25184806,8.349396831
17826,6/3/2020,0.5920000000000001,9.023649283,3.63758616,4.033886593,17.25184806,8.349396831
17827,6/4/2020,0.5920000000000001,9.053452616,3.63758616,4.033886593,17.25184806,8.349396831
17828,6/5/2020,0.5920000000000001,9.092119741,3.63758616,4.033886593,17.25184806,8.349396831
17829,6/6/2020,0.5920000000000001,9.123474439,3.737669618,4.033886593,17.25184806,8.349396831
17830,6/7/2020,0.5920000000000001,9.155039056,3.784189634,4.033886593,17.25184806,8.349396831
17831,6/8/2020,0.5920000000000001,9.173468897,3.784189634,4.033886593,17.25184806,8.349396831
17832,6/9/2020,0.5920000000000001,9.201299627,3.871201011,4.033886593,17.25184806,8.349396831
17833,6/10/2020,0.5920000000000001,9.230241034,3.871201011,4.033886593,17.25184806,8.349396831
17834,6/11/2020,0.5920000000000001,9.245514447,3.871201011,4.033886593,17.25184806,8.349396831
17835,6/12/2020,0.5920000000000001,9.245514447,3.871201011,4.033886593,17.25184806,8.349396831
17836,6/13/2020,0.5920000000000001,9.316320696,3.871201011,4.033886593,17.25184806,8.349396831
17837,6/14/2020,0.5920000000000001,9.343296599,3.931825633,4.033886593,17.25184806,8.349396831
17838,6/15/2020,0.5920000000000001,9.38965742,3.988984047,4.033886593,17.25184806,8.349396831
17839,6/16/2020,0.5920000000000001,9.38965742,3.988984047,4.033886593,17.25184806,8.349396831
17840,6/17/2020,0.5920000000000001,9.408617296,4.060443011,4.033886593,17.25184806,8.349396831
17841,6/18/2020,0.5920000000000001,9.440658127,4.189654742,4.033886593,17.25184806,8.349396831
17842,6/19/2020,0.5920000000000001,9.467228129,4.189654742,4.033886593,17.25184806,8.349396831
17843,6/20/2020,0.5920000000000001,9.488199355,4.248495242,4.033886593,17.25184806,8.349396831
17844,6/21/2020,0.5920000000000001,9.525953709,4.442651256,4.033886593,17.25184806,8.349396831
17845,6/22/2020,0.5920000000000001,9.557752549,4.442651256,3.966132331,17.25184806,8.349396831
17846,6/23/2020,0.5920000000000001,9.557752549,4.442651256,3.966132331,17.25184806,8.349396831
17847,6/24/2020,0.5920000000000001,9.586582621,4.553876892,3.966132331,17.25184806,8.349396831
17848,6/25/2020,0.5920000000000001,9.616671771,4.553876892,3.966132331,17.25184806,8.349396831
17849,6/26/2020,0.5920000000000001,9.646851848,4.553876892,3.966132331,17.25184806,8.349396831
17850,6/27/2020,0.5920000000000001,9.669914806,4.634728988,3.966132331,17.25184806,8.349396831
17851,6/28/2020,0.5920000000000001,9.706925073,4.634728988,3.966132331,17.25184806,8.349396831
17852,6/29/2020,0.5920000000000001,9.761405421,4.718498871,3.966132331,17.25184806,8.349396831
17853,6/30/2020,0.5920000000000001,9.761405421,4.718498871,3.966132331,17.25184806,8.349396831
17854,7/1/2020,0.5920000000000001,9.783633624,4.718498871,3.966132331,17.25184806,8.349396831
17855,7/2/2020,0.5920000000000001,9.805543908,4.762173935,3.966132331,17.25184806,8.349396831
17856,7/3/2020,0.5920000000000001,9.805543908,4.762173935,3.966132331,17.25184806,8.349396831
17857,7/4/2020,0.5920000000000001,9.872409597,4.762173935,3.966132331,17.25184806,8.349396831
17858,7/5/2020,0.5920000000000001,9.872409597,4.762173935,3.966132331,17.25184806,8.349396831
17859,7/6/2020,0.5920000000000001,9.907728547,4.804021045,3.966132331,17.25184806,8.349396831
17860,7/7/2020,0.5920000000000001,9.955937678,4.859812404,3.966132331,17.25184806,8.349396831
17861,7/8/2020,0.5920000000000001,9.997342128,4.859812404,3.966132331,17.25184806,8.349396831
17862,7/9/2020,0.5920000000000001,10.03548026,4.859812404,3.966132331,17.25184806,8.349396831
17863,7/10/2020,0.5920000000000001,10.06317999,4.859812404,3.966132331,17.25184806,8.349396831
17864,7/11/2020,0.5920000000000001,10.07886841,4.905274778,3.966132331,17.25184806,8.349396831
17865,7/12/2020,0.5920000000000001,10.09608942,4.905274778,3.966132331,17.25184806,8.349396831
